Name,Latitude (°),Longitude (°),Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%)
Aklavik,68.22,-135.01,35.6,93,4.7,90
Sistranda,63.73,8.83,53.6,93,11.41,75
Punta Arenas,-53.15,-70.92,42.39,81,12.75,98
Manakara,-22.13,48.02,64.31,89,7.02,0
Albany,42.6,-73.97,41.67,58,3.91,0
Mataura,-46.19,168.86,60.39,45,9.13,62
Upernavik,72.79,-56.15,29.03,88,7.7,89
Busselton,-33.65,115.33,54.25,75,3.0,100
Byron Bay,-28.65,153.62,84.85,61,12.75,0
Sandakan,5.84,118.12,86.0,79,2.24,40
Kungurtug,50.6,97.52,49.78,50,1.03,0
Cherskiy,68.75,161.3,39.61,69,6.53,50
Nikolskoye,59.7,30.79,52.84,81,11.18,75
Binzhou,37.37,118.02,84.0,51,1.01,26
Norman Wells,65.28,-126.83,50.0,66,6.93,75
Avarua,-21.21,-159.78,78.8,83,2.24,100
Barrow,71.29,-156.79,32.0,90,10.29,90
Poum,-20.23,164.02,72.3,66,6.85,4
Hermanus,-34.42,19.23,50.0,91,7.47,99
Swan Hill,-35.34,143.55,60.6,49,17.81,100
Clyde River,70.47,-68.59,19.4,100,3.36,1
Hasaki,35.73,140.83,71.15,77,3.36,75
Sānchor,24.76,71.77,85.03,71,10.09,99
Saint-Philippe,-21.36,55.77,59.09,63,6.93,43
Manado,1.49,124.85,89.6,55,6.93,20
Bluff,-46.6,168.33,53.37,62,7.43,85
Kaitangata,-46.28,169.85,57.99,63,5.99,0
Cadiz,36.5,-5.75,67.12,93,1.12,100
Zhangjiakou,40.81,114.88,64.02,53,3.71,67
Castro,-24.79,-50.01,54.91,89,11.25,94
Cape Town,-33.93,18.42,51.58,76,4.7,40
Stavropol,45.04,41.97,47.19,61,6.71,21
Ulladulla,-35.35,150.47,79.05,37,16.11,20
Alice Springs,-23.7,133.88,75.09,27,8.05,75
Katsuura,35.13,140.3,72.84,78,4.0,100
Kavieng,-2.57,150.8,85.35,73,11.23,90
Oranjemund,-28.55,16.43,55.04,85,13.02,0
San Quintín,30.48,-115.95,72.41,72,11.72,0
Dikson,73.51,80.55,40.69,92,15.39,100
Tessalit,20.2,1.01,87.42,16,8.66,0
Port Alfred,-33.59,26.89,57.54,61,25.48,20
Yellowknife,62.46,-114.35,49.8,76,3.36,20
Faanui,-16.48,-151.75,78.48,79,17.05,0
Mahébourg,-20.41,57.7,69.8,77,12.75,81
Jamestown,42.1,-79.24,48.22,53,10.29,1
Puerto Ayora,-0.74,-90.35,66.07,89,9.42,97
Rikitea,-23.12,-134.97,72.59,76,24.0,99
Kristinestad,62.27,21.38,52.36,69,11.65,99
Itarema,-2.92,-39.92,77.68,82,15.32,9
Port Macquarie,-31.43,152.92,84.97,63,4.0,0
Presidencia Roque Sáenz Peña,-26.79,-60.44,56.68,46,7.38,23
Khovu-Aksy,51.13,93.6,50.07,55,2.91,0
Dongsheng,39.82,109.98,61.43,45,9.1,96
Sitka,57.05,-135.33,51.8,76,11.41,90
Narsaq,60.92,-46.05,33.8,55,6.93,97
Atuona,-9.8,-139.03,78.28,77,19.98,21
Carandaí,-20.95,-43.81,62.31,90,9.44,75
Selenduma,50.91,106.24,52.02,55,2.06,23
Bethel,41.37,-73.41,43.21,86,4.7,1
San Patricio,19.22,-104.7,81.14,78,6.46,88
Carnarvon,-24.87,113.63,64.4,39,23.04,0
Vardø,70.37,31.11,42.75,80,17.25,12
Ilhabela,-23.78,-45.36,69.31,90,8.66,100
Aras,42.56,-2.36,62.6,88,5.82,75
Boralday,43.36,76.86,53.6,62,1.52,0
Bocas del Toro,9.33,-82.25,64.0,99,0.51,100
Rio Grande,-32.03,-52.1,50.34,70,10.74,0
Acarí,-15.43,-74.62,63.77,59,3.58,66
Kapaa,22.08,-159.32,80.91,74,10.29,90
Khatanga,71.97,102.5,44.91,76,8.72,16
Qasigiannguit,68.82,-51.19,28.4,92,2.24,100
Vaini,-21.2,-175.2,77.0,78,11.41,75
Aketi,2.74,23.78,70.88,96,0.4,100
Yulara,-25.24,130.99,68.0,15,8.05,0
Severo-Yeniseyskiy,60.37,93.04,47.14,89,4.18,100
Urucará,-2.54,-57.76,84.02,50,2.19,22
Jaguarari,-10.26,-40.2,67.6,78,8.75,29
Tuktoyaktuk,69.45,-133.04,37.4,86,19.46,90
Leningradskiy,69.38,178.42,35.51,83,13.4,99
Boone,39.03,-92.33,60.4,70,9.93,0
Geraldton,-28.77,114.6,64.4,52,1.12,90
